label,loss_amount,round_number,purchased_coverage,random_number,state,timer_faq_choiceaffectsprice,timer_faq_howitworks,timer_faq_noinsurance,timer_faq_coverage,timer_char7,timer_char6,timer_char5,timer_char4,timer_char3,timer_char2,timer_char1,insurance,WTP,belief,prob,var6,var5,var4,var3,var2,var1,number_entered,result_risk,session.code,treatment,age,gender,smoker,health,exercisedays,exercisehours,insurancehealth,lifeinsurance,riskdriving,riskfinance,risksport,riskjob,riskhealth,risk,final_payoff,HL_switchpoint,HLLF_switchpoint
59dd90f6e75b450001a68dac,100.0,1,0.0,62.0,ill,594.0,952.0,,74.0,,1295.0,716.0,1142.0,1215.0,3977.0,1764.0,62.0,10.0,31.0,0.1846897777365264,9.5659476,9.5659476,1.0,0.0,25.0,0.0,0.0,50.0,gohoxkpv,varinfo,35.0,1.0,0.0,7.0,7.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,6.0,6.0,451.0,6.0,4.0
5ee0edcb962eba464f486b40,60.0,1,1.0,23.0,healthy,0.0,0.0,,0.0,331.0,98.0,238.0,961.0,567.0,347.0,1244.0,23.0,25.0,38.75,0.1418512122873805,10.0,10.0,1.0,0.0,0.0,0.0,5.0,57.5,gohoxkpv,baseline,64.0,0.0,0.0,7.0,2.0,20.0,1.0,0.0,2.0,3.0,4.0,4.0,3.0,3.0,562.5,,
5e9d6cc45c16f00273b05f93,100.0,1,1.0,1.0,ill,364.0,1991.0,,133.0,542.0,422.0,476.0,287.0,157.0,641.0,1001.0,1.0,15.0,94.5,0.947846340491787,0.0,4.0,0.0,50.0,50.0,1.0,10.0,40.0,gohoxkpv,fullinfo,21.0,1.0,1.0,6.0,2.0,2.0,0.0,1.0,4.0,6.0,6.0,7.0,5.0,7.0,759.0,,
5c4a061161db8c00015e4fb0,100.0,1,0.0,94.0,healthy,152.0,0.0,,23.0,,782.0,0.0,229.0,425.0,400.0,3.0,94.0,10.0,40.0,0.2497400330432526,6.0,6.0,1.0,0.0,10.0,0.0,50.0,125.0,gohoxkpv,neginfo,45.0,1.0,0.0,6.0,5.0,1.0,0.0,1.0,0.0,6.0,7.0,1.0,0.0,6.0,606.0,4.0,
5f0a414ff08fe631710e3ce8,60.0,1,1.0,19.0,ill,0.0,131.0,,108.0,,208.0,383.0,383.0,757.0,450.0,1007.0,19.0,25.0,67.5,0.9758729199833392,0.0,0.0,0.0,60.0,60.0,1.0,0.2,50.3,gohoxkpv,posinfo,41.0,0.0,0.0,7.0,2.0,1.0,1.0,0.0,3.0,5.0,5.0,5.0,3.0,4.0,394.3,6.0,9.0
5e170347afb7a7011c36d842,40.0,1,1.0,5.0,ill,0.0,,,0.0,7.0,195.0,8.0,65.0,100.0,202.0,810.0,5.0,15.0,40.0,0.947846340491787,0.0,4.0,0.0,50.0,50.0,1.0,16.0,74.0,gohoxkpv,fullinfo,62.0,0.0,0.0,8.0,4.0,1.5,0.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,564.0,8.0,8.0
59f3a778b47dfc0001b65cf9,40.0,1,0.0,27.0,healthy,197.0,780.0,,62.0,297.0,225.0,185.0,492.0,330.0,705.0,1211.0,27.0,1.0,10.0,0.1418512122873805,10.0,10.0,1.0,0.0,0.0,0.0,25.0,87.5,gohoxkpv,baseline,30.0,0.0,0.0,8.0,5.0,1.0,1.0,0.0,2.0,8.0,8.0,7.0,1.0,7.0,669.5,6.0,0.0
5f919274b5383b00096b0295,80.0,1,0.0,50.0,healthy,280.0,236.0,,277.0,,1.0,62.0,,,,1308.0,50.0,33.0,63.5,0.1846897777365264,9.5659476,9.5659476,1.0,0.0,25.0,0.0,35.0,15.0,gohoxkpv,varinfo,30.0,1.0,0.0,7.0,2.0,0.6,1.0,0.0,5.0,7.0,7.0,6.0,1.0,6.0,436.0,8.0,9.0
5eadaff848b26f4483ae62d9,80.0,1,0.0,30.0,ill,0.0,0.0,,0.0,,854.0,141.0,181.0,255.0,2129.0,1300.0,30.0,15.0,35.0,0.9758729199833392,0.0,0.0,0.0,60.0,60.0,1.0,50.0,0.0,gohoxkpv,posinfo,41.0,0.0,1.0,6.0,4.0,7.5,1.0,1.0,2.0,4.0,7.0,6.0,3.0,4.0,442.0,9.0,9.0
5c1da6adaaf13200014292cc,40.0,1,1.0,7.0,healthy,0.0,1611.0,,214.0,,1196.0,1678.0,3166.0,1292.0,3389.0,3392.0,7.0,27.0,27.5,0.1846897777365264,9.5659476,9.5659476,1.0,0.0,25.0,0.0,50.0,0.0,gohoxkpv,varinfo,32.0,0.0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,10.0,5.0,5.0,2.0,5.0,561.0,9.0,9.0
